prefilter_rank,feature_index,status,hits,hit_rate,mean_importance,max_importance,mutual_information,layer_index,aggregation_component,within_component_dim
722,3207,confirmed,98,0.98,0.007457002303086317,0.014383262956290728,0.1334090679883957,2,min,135
723,19404,rejected,8,0.08,0.00028056281547597634,0.001460668987579654,0.08682183176279068,9,min,204
724,27012,rejected,4,0.04,0.00027689513212001906,0.0018670605196737496,0.07120424509048462,12,mean,132
725,6679,tentative,43,0.43,0.0010001089591103497,0.0038094938996586863,0.10169129073619843,3,mean,535
726,6343,rejected,8,0.08,0.00024147797254802462,0.0013331607233802315,0.05941055342555046,3,mean,199
727,27339,rejected,29,0.29,0.000632715320162115,0.0027012272251459653,0.08821389824151993,12,mean,459
728,16088,rejected,17,0.17,0.00047764536708649695,0.0018387069765531455,0.06918246299028397,7,mean,728
729,12758,confirmed,96,0.96,0.0033641400762314646,0.00729968601502547,0.12680912017822266,6,min,470
730,1859,rejected,2,0.02,0.00022752025129592582,0.0012231488608165743,0.07423530519008636,1,mean,323
731,17121,rejected,8,0.08,0.00039518043222410516,0.0014443279628954674,0.09592915326356888,8,min,225
732,3223,rejected,9,0.09,0.00034914746796242587,0.001777747416627731,0.11372862756252289,2,min,151
733,1833,rejected,3,0.03,0.00023740337207029573,0.0014230603033114613,0.07828689366579056,1,mean,297
734,13372,tentative,47,0.47,0.0010249960620915422,0.0032747345626713505,0.10805340856313705,6,mean,316
735,2856,confirmed,83,0.83,0.0022828197345169015,0.006873561138944009,0.12081877887248993,2,max,552
736,22841,rejected,5,0.05,0.00030837952401843743,0.001683565940822569,0.06569822132587433,10,mean,569
737,22394,rejected,7,0.07,0.00028216183668765255,0.0018295074445803076,0.07043210417032242,10,mean,122
738,3026,tentative,60,0.6,0.0012429097446629003,0.004608925064506717,0.12179550528526306,2,max,722
739,19313,rejected,8,0.08,0.00031415106199768756,0.0014061718415036002,0.1319008469581604,9,min,113
740,22837,rejected,34,0.34,0.0006140241815306304,0.0020000206294873853,0.07380959391593933,10,mean,565
741,20476,tentative,41,0.41,0.0008577121280126388,0.0034567490160879355,0.0955410972237587,9,mean,508
742,2,rejected,11,0.11,0.0003869965357739536,0.0012557212596619033,0.08779976516962051,1,max,2
743,8772,confirmed,92,0.92,0.0024030145944050527,0.007342008407772484,0.08801799267530441,4,mean,324
744,2707,confirmed,100,1.0,0.006022126159204559,0.014668472896350555,0.1263396292924881,2,max,403
745,4492,rejected,9,0.09,0.00026552421550915723,0.0018905532295952535,0.06901857256889343,2,mean,652
746,15842,rejected,9,0.09,0.0003089851192907234,0.00151091144135443,0.07117819041013718,7,mean,482
747,4367,rejected,8,0.08,0.0002961643059373213,0.0012374811914006689,0.05902348831295967,2,mean,527
748,11286,rejected,8,0.08,0.0003332624861346748,0.0014083983507064287,0.07190324366092682,5,mean,534
